codBairro,bairro,codLocalidade,municipio,codMunicipioIBGE
11804,JARDIM NOVO MUNDO,431,Sorocaba,3552205
11805,JARDIM NOVO MUNDO,342,Valinhos,3556206
11806,JARDIM NOVO MUNDO,353,Votorantim,3557006
11807,Novo Mundo,3358,Várzea Grande,5108402
11808,JARDIM NOVO MUNDO,749,Itu,3523909
11809,JARDIM NOVO MUNDO EXTENSÃO,4818,Goiânia,5208707
11810,JARDIM NOVO NITERÓI,3358,Várzea Grande,5108402
11811,JARDIM NOVO OÁSIS,2381,Maringá,4115200
11812,JARDIM NOVO OURO BRANCO,2322,Paranavaí,4118402
11814,Jardim Novo Paraíso,960,Americana,3501608
11815,JARDIM NOVO PARANÁ,433,Sumaré,3552403
11816,JARDIM NOVO PARELHEIROS,412,São Paulo,3550308
11817,JARDIM NOVO PEROBAL,2403,Londrina,4113700
11818,JARDIM NOVO PETRÓPOLIS,4818,Goiânia,5208707
11819,JARDIM NOVO PLANALTO,508,Presidente Prudente,3541406
11820,JARDIM NOVO PORTUGAL,768,Guarulhos,3518800
11821,JARDIM NOVO REAL PARQUE,861,Campinas,3509502
11822,JARDIM NOVO RECORD,438,Taboão da Serra,3552809
11823,JARDIM NOVO SABARÁ,2403,Londrina,4113700
11824,JARDIM NOVO SANTO AMARO,412,São Paulo,3550308
11825,JARDIM NOVO SÃO JOSÉ,861,Campinas,3509502
11826,JARDIM NOVO SOL,861,Campinas,3509502
11827,JARDIM NOVO TABOÃO,412,São Paulo,3550308
11829,JARDIM NOYA,2120,São João de Meriti,3305109
11830,JARDIM NUNES,468,São José do Rio Preto,3549805
11831,JARDIM OÁSIS,2381,Maringá,4115200
11832,JARDIM OBELISCO,567,Poá,3539806
11833,JARDIM OCARA,446,Santo André,3547809
11834,JARDIM OCEANIA,3100,João Pessoa,2507507
11835,JARDIM ODÉCIO DEGAN,706,Limeira,3526902
11836,JARDIM ODETE,741,Itaquaquecetuba,3523107
11837,JARDIM ODETE,689,Jaú,3525300
11838,JARDIM ODETE,567,Poá,3539806
11839,JARDIM ODETE,412,São Paulo,3550308
11840,JARDIM ODETE,768,Guarulhos,3518800
11841,JARDIM OGUIDO,2403,Londrina,4113700
11842,JARDIM OHARA,659,Marília,3529005
11843,JARDIM OK,2403,Londrina,4113700
11844,JARDIM OKITA,861,Campinas,3509502
11845,JARDIM OKUYAMA,768,Guarulhos,3518800
11846,JARDIM OLARIA,2478,Foz do Iguaçu,4108304
11847,JARDIM OLARIA,873,Caraguatatuba,3510500
11848,JARDIM OLAVO BILAC,2164,Duque de Caxias,3301702
11849,JARDIM OLAVO BILAC,2120,São João de Meriti,3305109
11850,JARDIM OLAVO BILAC,456,São Bernardo do Campo,3548708
11852,JARDIM OLGA,812,Francisco Morato,3516309
11853,JARDIM OLGA VERONI,706,Limeira,3526902
11854,Jardim Olímpia,4032,Juiz de Fora,3136702
11855,Jardim Olímpia,857,Embu das Artes,3515004
11856,Jardim Olímpia,689,Jaú,3525300
11857,Jardim Olímpico,4877,Aparecida de Goiânia,5201405
11858,Jardim Olímpico,2403,Londrina,4113700
11859,Jardim Olímpico,2381,Maringá,4115200
11860,Jardim Olímpico,946,Bauru,3506003
11861,JARDIM OLÍMPIO FELÍCIO,562,Pirassununga,3539301
11862,JARDIM OLIMPO,2164,Duque de Caxias,3301702
11865,JARDIM OLINDA,2177,Cabo Frio,3300704
11866,JARDIM OLINDA,791,Indaiatuba,3520509
11867,JARDIM OLINDA,663,Mauá,3529401
11868,JARDIM OLINDA,535,Rio Claro,3543907
11869,JARDIM OLINDA,412,São Paulo,3550308
11872,JARDIM OLIVEIRA,3379,Rondonópolis,5107602
11873,JARDIM OLIVEIRA,768,Guarulhos,3518800
11874,JARDIM OLIVEIRA,749,Itu,3523909
11875,JARDIM OLIVEIRA CAMARGO,791,Indaiatuba,3520509
11876,JARDIM OLIVEIRAS,438,Taboão da Serra,3552809
11878,JARDIM OLÍVIO MORO,347,Várzea Paulista,3556503
11879,JARDIM OLYMPIA,412,São Paulo,3550308
11880,JARDIM ONDINA,412,São Paulo,3550308
11881,JARDIM ORATÓRIO,663,Mauá,3529401
11882,JARDIM ORBAM,412,São Paulo,3550308
11883,JARDIM ORESTES LOPES DE CAMARGO,531,Ribeirão Preto,3543402
11884,JARDIM ORESTES VERONI,706,Limeira,3526902
11885,JARDIM ORIENTAL,4541,Imperatriz,2105302
11886,JARDIM ORIENTAL,879,Catanduva,3511102
11887,JARDIM ORIENTAL,446,Santo André,3547809
11888,JARDIM ORIENTAL,412,São Paulo,3550308
11889,JARDIM ORIENTAL,2581,Arapongas,4101507
11890,JARDIM ORIENTAL (PARELHEIROS),412,São Paulo,3550308
11891,JARDIM ORIENTE,2478,Foz do Iguaçu,4108304
11892,JARDIM ORIENTE,469,São José dos Campos,3549904
11894,JARDIM ORIENTE,2403,Londrina,4113700
11895,JARDIM ORIENTE,556,Piracicaba,3538709
11897,JARDIM ORLÂNDIA,3582,Varginha,3170701
11898,JARDIM ORLANDINA,456,São Bernardo do Campo,3548708
11899,JARDIM ORLANDO CHESINI OMETTO,689,Jaú,3525300
11900,JARDIM ORLY,412,São Paulo,3550308
11901,JARDIM ORMENDINA,412,São Paulo,3550308
11904,JARDIM OSCAVO SANTOS,2403,Londrina,4113700
11905,JARDIM OSÉIAS GENUÍNO,806,Ferraz de Vasconcelos,3515707
11906,JARDIM OTTAWA,768,Guarulhos,3518800
11907,JARDIM OURO BRANCO,2322,Paranavaí,4118402
11908,JARDIM OURO BRANCO,861,Campinas,3509502
11909,JARDIM OURO BRANCO,706,Limeira,3526902
11910,JARDIM OURO BRANCO,531,Ribeirão Preto,3543402
11911,JARDIM OURO COLA,2381,Maringá,4115200
11912,JARDIM OURO FINO,588,Ourinhos,3534708
11913,JARDIM OURO FINO,2320,Paranaguá,4118204
11914,JARDIM OURO PRETO,2125,Nova Friburgo,3303401
11915,JARDIM OURO PRETO,812,Francisco Morato,3516309
11916,JARDIM OURO PRETO,438,Taboão da Serra,3552809
11917,JARDIM OURO PRETO,2403,Londrina,4113700
11918,JARDIM OURO PRETO,3527,Campo Grande,5002704
11919,JARDIM OURO PRETO,426,Sertãozinho,3551702
11920,JARDIM OURO PRETO,861,Campinas,3509502
11923,JARDIM OURO VERDE,2580,Apucarana,4101408
11925,JARDIM OURO VERDE,946,Bauru,3506003
11926,JARDIM OURO VERDE,861,Campinas,3509502
11927,JARDIM OURO VERDE,706,Limeira,3526902
11928,JARDIM OURO VERDE,588,Ourinhos,3534708
11929,JARDIM OURO VERDE,508,Presidente Prudente,3541406
11930,JARDIM OURO VERDE,468,São José do Rio Preto,3549805
